"Subregion","Model","NPOT.per.yr","Match.per","No.Match.per"
"GreatPlainsSouth","INM-CM5-0",2,97.8,2.2
"GreatPlainsSouth","INM-CM5-0",3,98.2,1.8
"GreatPlainsSouth","IPSL-CM6A-LR",1,83.6,16.4
"GreatPlainsSouth","IPSL-CM6A-LR",2,84.8,15.2
"GreatPlainsSouth","IPSL-CM6A-LR",3,82.4,17.6
"GreatPlainsSouth","KACE-1-0-G",1,83.1,16.9
"GreatPlainsSouth","KACE-1-0-G",2,88.6,11.4
"GreatPlainsSouth","KACE-1-0-G",3,88.6,11.4
"GreatPlainsSouth","MCM-UA-1-0",1,56.1,43.9
"GreatPlainsSouth","MCM-UA-1-0",2,62.2,37.8
"GreatPlainsSouth","MCM-UA-1-0",3,56.3,43.7
"GreatPlainsSouth","MIROC6",1,90.3,9.7
"GreatPlainsSouth","MIROC6",2,95.5,4.5
"GreatPlainsSouth","MIROC6",3,91.5,8.5
"GreatPlainsSouth","MPI-ESM1-2-HR",1,93.5,6.5
"GreatPlainsSouth","MPI-ESM1-2-HR",2,97.1,2.9
"GreatPlainsSouth","MPI-ESM1-2-HR",3,96,4
"GreatPlainsSouth","MPI-ESM1-2-LR",1,92.1,7.9
"GreatPlainsSouth","MPI-ESM1-2-LR",2,90.8,9.2
"GreatPlainsSouth","MPI-ESM1-2-LR",3,92.9,7.1
"GreatPlainsSouth","MRI-ESM2-0",1,88.9,11.1
"GreatPlainsSouth","MRI-ESM2-0",2,89.7,10.3
"GreatPlainsSouth","MRI-ESM2-0",3,88.6,11.4
"GreatPlainsSouth","NorESM2-LM",1,86.8,13.2
"GreatPlainsSouth","NorESM2-LM",2,92.2,7.8
"GreatPlainsSouth","NorESM2-LM",3,90.6,9.4
"GreatPlainsSouth","NorESM2-MM",1,90.3,9.7
"GreatPlainsSouth","NorESM2-MM",2,91.1,8.9
"GreatPlainsSouth","NorESM2-MM",3,87.3,12.7
"GreatPlainsSouth","TaiESM1",1,91.7,8.3
"GreatPlainsSouth","TaiESM1",2,94.4,5.6
"GreatPlainsSouth","TaiESM1",3,95.5,4.5
"GreatPlainsSouth","UKESM1-0-LL",1,70.4,29.6
"GreatPlainsSouth","UKESM1-0-LL",2,77.6,22.4
"GreatPlainsSouth","UKESM1-0-LL",3,80.6,19.4
"Midwest","ACCESS-CM2",1,86,14
"Midwest","ACCESS-CM2",2,83,17
"Midwest","ACCESS-CM2",3,85.5,14.5
"Midwest","ACCESS-ESM1-5",1,85,15
"Midwest","ACCESS-ESM1-5",2,85.2,14.8
"Midwest","ACCESS-ESM1-5",3,86.8,13.2
"Midwest","AWI-CM-1-1-MR",1,72.2,27.8
"Midwest","AWI-CM-1-1-MR",2,65.8,34.2
"Midwest","AWI-CM-1-1-MR",3,67.7,32.3
"Midwest","BCC-CSM2-MR",1,94.4,5.6
"Midwest","BCC-CSM2-MR",2,95.5,4.5
"Midwest","BCC-CSM2-MR",3,95.4,4.6
"Midwest","CAMS-CSM1-0",1,85,15
"Midwest","CAMS-CSM1-0",2,83.6,16.4
