"Year","Month","Value","Variable"
1996,8,3.856,"pr"
1996,9,41.838,"pr"
1996,10,111.061,"pr"
1996,11,46.367,"pr"
1996,12,114.707,"pr"
1997,1,219.026,"pr"
1997,2,108.6,"pr"
1997,3,73.205,"pr"
1997,4,87.668,"pr"
1997,5,5.688,"pr"
1997,6,21.971,"pr"
1997,7,1.141,"pr"
1997,8,22.881,"pr"
1997,9,5.652,"pr"
1997,10,114.915,"pr"
1997,11,20.38,"pr"
1997,12,97.553,"pr"
1998,1,129.301,"pr"
1998,2,115.785,"pr"
1998,3,77.389,"pr"
1998,4,85.256,"pr"
1998,5,56.235,"pr"
1998,6,16.941,"pr"
1998,7,2.148,"pr"
1998,8,0.624,"pr"
1998,9,1.566,"pr"
1998,10,159.988,"pr"
1998,11,91.048,"pr"
1998,12,200.756,"pr"
1999,1,457.437,"pr"
1999,2,175.718,"pr"
1999,3,61.503,"pr"
1999,4,120.739,"pr"
1999,5,28.435,"pr"
1999,6,2.36,"pr"
1999,7,5.48,"pr"
1999,8,1.882,"pr"
1999,9,8.034,"pr"
1999,10,72.465,"pr"
1999,11,304.309,"pr"
1999,12,336.109,"pr"
2000,1,294.597,"pr"
2000,2,217.563,"pr"
2000,3,233.538,"pr"
2000,4,174.645,"pr"
2000,5,137.228,"pr"
2000,6,25.205,"pr"
2000,7,1.161,"pr"
2000,8,0.558,"pr"
2000,9,0.657,"pr"
2000,10,136.853,"pr"
2000,11,75.062,"pr"
2000,12,152.365,"pr"
2001,1,176.163,"pr"
2001,2,286.159,"pr"
2001,3,219.625,"pr"
2001,4,88.612,"pr"
2001,5,74.726,"pr"
2001,6,10.107,"pr"
2001,7,2.81,"pr"
2001,8,3.248,"pr"
2001,9,28.121,"pr"
2001,10,93.363,"pr"
2001,11,42.35,"pr"
2001,12,228.167,"pr"
2002,1,24.307,"pr"
2002,2,201.756,"pr"
2002,3,119.259,"pr"
2002,4,87.696,"pr"
2002,5,25.156,"pr"
2002,6,22.626,"pr"
2002,7,1.997,"pr"
2002,8,9.604,"pr"
2002,9,46.14,"pr"
2002,10,205.747,"pr"
2002,11,203.366,"pr"
2002,12,53.207,"pr"
2003,1,128.97,"pr"
2003,2,172.053,"pr"
2003,3,267.909,"pr"
2003,4,117.968,"pr"
2003,5,38.734,"pr"
2003,6,6.04,"pr"
2003,7,0.403,"pr"
2003,8,0.516,"pr"
2003,9,37.077,"pr"
2003,10,141.406,"pr"
2003,11,213.705,"pr"
2003,12,468.07,"pr"
2004,1,113.777,"pr"
2004,2,216.237,"pr"
2004,3,107.445,"pr"
2004,4,118.41,"pr"
2004,5,54.653,"pr"
2004,6,42.317,"pr"
2004,7,1.124,"pr"
2004,8,16.254,"pr"
2004,9,110.785,"pr"
2004,10,106.626,"pr"
2004,11,221.143,"pr"
2004,12,339.509,"pr"
2005,1,192.024,"pr"
2005,2,106.24,"pr"
2005,3,130.973,"pr"
2005,4,102.646,"pr"
2005,5,83.147,"pr"
2005,6,9.858,"pr"
2005,7,26.791,"pr"
2005,8,14.528,"pr"
2005,9,34.944,"pr"
2005,10,143.026,"pr"
2005,11,79.039,"pr"
2005,12,211.151,"pr"
2006,1,103.183,"pr"
2006,2,128.787,"pr"
2006,3,118.853,"pr"
2006,4,62.059,"pr"
2006,5,46.082,"pr"
2006,6,88.871,"pr"
2006,7,1.733,"pr"
2006,8,8.385,"pr"
2006,9,8.409,"pr"
2006,10,97.896,"pr"
2006,11,130.473,"pr"
2006,12,362.451,"pr"
2007,1,135.851,"pr"
2007,2,26.074,"pr"
2007,3,97.86,"pr"
2007,4,79.33,"pr"
2007,5,59.559,"pr"
2007,6,30.157,"pr"
2007,7,7.109,"pr"
2007,8,0.552,"pr"
2007,9,17.963,"pr"
2007,10,93.749,"pr"
2007,11,46.382,"pr"
2007,12,95.83,"pr"
2008,1,273.897,"pr"
2008,2,65.476,"pr"
2008,3,124.601,"pr"
2008,4,92.043,"pr"
2008,5,46.411,"pr"
2008,6,23.995,"pr"
2008,7,12.853,"pr"
2008,8,37.419,"pr"
2008,9,59.932,"pr"
2008,10,22.013,"pr"
2008,11,155.324,"pr"
2008,12,160.979,"pr"
2009,1,126.248,"pr"
2009,2,153.369,"pr"
2009,3,86.017,"pr"
2009,4,13.783,"pr"
2009,5,18.01,"pr"
2009,6,55.425,"pr"
2009,7,6.789,"pr"
2009,8,1.368,"pr"
2009,9,1.667,"pr"
2009,10,144.708,"pr"
2009,11,138.015,"pr"
2009,12,54.899,"pr"
2010,1,180.263,"pr"
2010,2,64.101,"pr"
2010,3,117.383,"pr"
2010,4,119.508,"pr"
2010,5,9.77,"pr"
2010,6,15.252,"pr"
2010,7,0.479,"pr"
2010,8,0.51,"pr"
2010,9,8.675,"pr"
2010,10,74.265,"pr"
2010,11,233.171,"pr"
2010,12,163.354,"pr"
2011,1,159.078,"pr"
2011,2,253.092,"pr"
2011,3,90.595,"pr"
2011,4,13.998,"pr"
2011,5,41.529,"pr"
2011,6,38.066,"pr"
2011,7,3.241,"pr"
2011,8,7.702,"pr"
2011,9,69.679,"pr"
2011,10,115.132,"pr"
2011,11,110.24,"pr"
2011,12,260.021,"pr"
2012,1,274.046,"pr"
2012,2,177.95,"pr"
2012,3,165.324,"pr"
2012,4,99.773,"pr"
2012,5,11.988,"pr"
2012,6,43.382,"pr"
2012,7,3.216,"pr"
2012,8,0.657,"pr"
2012,9,9.333,"pr"
2012,10,52.397,"pr"
2012,11,287.571,"pr"
2012,12,102.597,"pr"
2013,1,105.413,"pr"
2013,2,114.142,"pr"
2013,3,117.466,"pr"
2013,4,83.962,"pr"
2013,5,69.673,"pr"
2013,6,25.488,"pr"
2013,7,0.706,"pr"
2013,8,0.726,"pr"
2013,9,14.258,"pr"
2013,10,46.175,"pr"
2013,11,66.71,"pr"
2013,12,78.204,"pr"
2014,1,61.573,"pr"
2014,2,248.334,"pr"
2014,3,102.034,"pr"
2014,4,111.81,"pr"
2014,5,52.131,"pr"
2014,6,71.106,"pr"
2014,7,7.113,"pr"
2014,8,2.969,"pr"
2014,9,47.797,"pr"
2014,10,75.262,"pr"
2014,11,4.576,"pr"
2014,12,105.231,"pr"
2015,1,461.362,"pr"
2015,2,201.119,"pr"
2015,3,159.829,"pr"
2015,4,94.386,"pr"
2015,5,156.53,"pr"
2015,6,1.51,"pr"
2015,7,16.815,"pr"
2015,8,2.177,"pr"
2015,9,1.339,"pr"
2015,10,201.846,"pr"
2015,11,181.504,"pr"
2015,12,192.138,"pr"
2016,1,282.785,"pr"
2016,2,146.076,"pr"
2016,3,217.114,"pr"
2016,4,116.71,"pr"
2016,5,26.342,"pr"
2016,6,15.003,"pr"
2016,7,0.377,"pr"
2016,8,0.329,"pr"
2016,9,0.934,"pr"
2016,10,65.689,"pr"
2016,11,36.018,"pr"
2016,12,107.887,"pr"
2017,1,196.442,"pr"
2017,2,190.919,"pr"
2017,3,201.638,"pr"
2017,4,61.969,"pr"
2017,5,16.877,"pr"
2017,6,1.652,"pr"
2017,7,0.563,"pr"
2017,8,8.02,"pr"
2017,9,6.465,"pr"
2017,10,126.61,"pr"
2017,11,233.236,"pr"
2017,12,179.859,"pr"
2018,1,191.998,"pr"
2018,2,61.239,"pr"
2018,3,190.805,"pr"
2018,4,140.596,"pr"
2018,5,44.082,"pr"
2018,6,56.806,"pr"
2018,7,7.501,"pr"
2018,8,12.72,"pr"
2018,9,4.727,"pr"
2018,10,91.491,"pr"
2018,11,97.085,"pr"
2018,12,156.34,"pr"
2019,1,59.718,"pr"
2019,2,258.452,"pr"
2019,3,156.626,"pr"
2019,4,28.323,"pr"
2019,5,18.41,"pr"
2019,6,6.576,"pr"
2019,7,5.884,"pr"
2019,8,1.892,"pr"
2019,9,4.193,"pr"
2019,10,210.592,"pr"
